"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Joel Embiid","Phi","C","30","34","34","39.4","14.3","403","0.883","642","0.562","112","0.366","0.56","0.645","35.3","11.3","5.7","1.1","1.8","3.7","46.6","41","52.3","15.5","125.1","105.8"
"","Luka Doncic","Dal","G","25.1","64","37.4","36","14.4","572","0.785","846","0.573","660","0.376","0.569","0.615","33.8","9.1","9.8","1.5","0.5","4","42.9","43.6","52.7","15.4","122.1","110.8"
"","Giannis Antetokounmpo","Mil","F","29.3","68","35.2","32.9","15.5","741","0.657","1155","0.648","118","0.288","0.628","0.653","30.7","11.5","6.4","1.2","1","3.4","42.2","37.1","48.6","14.9","126.2","106.7"
"","Shai Gilgeous-Alexander","Okc","G","25.7","70","34.4","32.8","9.9","606","0.871","1152","0.577","248","0.367","0.573","0.639","30.4","5.6","6.4","2.1","0.9","2.2","36","36.8","42.4","12","129.4","107.8"
"","Jalen Brunson","Nyk","G","27.6","68","35.1","31.8","10.2","412","0.847","964","0.516","459","0.401","0.543","0.591","27.9","3.6","6.5","0.9","0.2","2.4","31.5","34.4","38","9.9","123.8","112"
"","Kevin Durant","Pho","F","35.5","67","37.1","29.2","14.9","397","0.854","928","0.57","353","0.425","0.589","0.634","27.6","6.7","5.2","0.9","1.3","3.3","34.3","32.7","39.5","10.6","118.9","113.4"
"","Jayson Tatum","Bos","F","26.1","68","36","30.3","11.5","469","0.832","762","0.542","566","0.378","0.553","0.605","27.3","8.2","4.9","1","0.6","2.5","35.6","32.3","40.5","11.5","121.1","107.5"
"","Donovan Mitchell","Cle","G","27.6","50","35.3","31.8","12.4","292","0.866","551","0.544","452","0.369","0.549","0.598","27.1","5.3","6.1","1.8","0.5","2.8","32.4","33.2","38.5","10.8","117.4","108.3"
"","Devin Booker","Pho","G","27.4","60","35.7","30","11.5","395","0.881","807","0.549","354","0.362","0.547","0.606","27","4.8","6.9","0.9","0.4","2.5","31.7","33.9","38.6","10.8","123.6","110.9"
"","Stephen Curry","Gol","G","36","67","32.7","31.3","12.5","300","0.923","512","0.52","801","0.402","0.57","0.614","26.5","4.4","5","0.7","0.3","2.8","30.9","31.4","35.8","10.2","118.9","115.2"
"","De'Aaron Fox","Sac","G","26.3","65","35.7","31.2","11.3","383","0.731","861","0.523","494","0.364","0.531","0.564","26.5","4.5","5.6","2","0.4","2.6","31","32.1","36.6","9.8","113","111"
"","Trae Young","Atl","G","25.5","51","36.5","30.7","18.3","396","0.856","526","0.473","456","0.371","0.512","0.581","26.4","2.7","10.8","1.4","0.2","4.3","29.1","37.2","39.9","10","117.8","118.5"
"","Anthony Edwards","Min","G","22.7","70","35.2","32.4","13.4","444","0.829","925","0.512","469","0.367","0.525","0.576","26.2","5.5","5.2","1.3","0.6","3.1","31.7","31.3","36.8","10.3","112.1","106.8"
"","Nikola Jokic","Den","C","29.1","71","34.5","29.2","14.1","396","0.826","1054","0.624","206","0.345","0.607","0.647","26.1","12.2","8.9","1.3","0.9","2.9","38.3","35.1","47.3","16.4","130.8","105.5"
"","Tyrese Maxey","Phi","G","23.4","65","37.5","27.9","7.8","354","0.864","783","0.493","524","0.374","0.52","0.569","25.6","3.7","6.2","1","0.5","1.7","29.3","31.8","35.5","8.9","120.3","114.8"
"","Kyrie Irving","Dal","G","32","51","34.5","28.3","8","174","0.902","632","0.543","366","0.41","0.569","0.602","25.4","5","5.2","1.2","0.4","1.7","30.4","30.6","35.6","10.1","122","113.9"
"","LeBron James","Lal","F","39.2","64","35.2","29","15.8","357","0.751","808","0.583","334","0.401","0.588","0.62","25.2","7.3","8.1","1.2","0.6","3.3","32.5","33.3","40.6","13","118.5","113.5"
"","Ja Morant","Mem","G","24.6","9","35.3","30.5","13.7","64","0.813","119","0.555","51","0.275","0.512","0.57","25.1","5.6","8.1","0.8","0.6","3","30.7","33.2","38.8","11.8","115.9","112.8"
"","Anthony Davis","Lal","C","31.1","69","35.9","26.5","10.6","461","0.816","1087","0.575","91","0.286","0.564","0.617","24.7","12.7","3.6","1.2","2.4","2","37.4","28.3","41","11.6","123.8","108"
"","Damian Lillard","Mil","G","33.7","68","35.3","28.2","12.6","465","0.923","612","0.49","586","0.358","0.513","0.591","24.4","4.4","7.1","1","0.2","2.5","28.8","31.5","35.8","10.4","120.8","114.2"
"","Julius Randle","Nyk","F","29.3","46","35.4","29.8","16","302","0.781","592","0.539","244","0.311","0.518","0.569","24","9.2","5","0.5","0.3","3.5","33.2","28.9","38.1","11.7","113","106.7"
"","LaMelo Ball","Cha","G","22.6","22","32.3","34.1","16.4","104","0.865","226","0.5","197","0.355","0.515","0.561","23.9","5.1","8","1.8","0.2","3.8","29","31.9","37","12.3","110.6","109.7"
"","Kawhi Leonard","Lac","F","32.8","67","34.2","26.6","9.3","284","0.887","812","0.569","331","0.417","0.585","0.627","23.7","6.1","3.6","1.7","0.9","1.7","29.9","27.3","33.5","9.4","124.9","114"
"","Desmond Bane","Mem","G","25.8","42","34.4","28.6","12.6","161","0.87","416","0.536","360","0.381","0.552","0.589","23.7","4.4","5.5","1","0.5","2.7","28.1","29.2","33.6","9.7","114","110.7"
"","DeMar DeRozan","Chi","F","34.6","72","37.6","25.3","8.4","555","0.859","996","0.506","205","0.327","0.503","0.583","23.4","4.4","5.2","1.1","0.6","1.5","27.8","28.6","33","8.6","123.4","115.4"
